Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чміль,Ярема,Богодарович,Чоловіча,1970-04-28,Машиніст,село Полонне,"проспект Анатолія Бачинського, буд. 51, Брянка, 11654",058 611 71 31,herman26@example.net
Швайка,Іван,Андрійович,Чоловіча,1957-10-17,Мікробіолог,село Джанкой,"площа Куяльницький міст, буд. 577 кв. 0, Канів, 93770",+380 71 272 83 68,artemieroshenko@example.net
Шовкопляс,Тарас,Несторович,Чоловіча,2003-01-07,Редактор,місто Зугрес,"вулиця Кавказький, буд. 88 кв. 8, Красилів, 19168",526-43-65,jchuiko@example.net
Авраменко,Гаврило,Леонідович,Чоловіча,1983-11-03,Підприємець,селище Заставна,"сквер Ігоря Балмагії, буд. 45 кв. 16, Гірник, 08484",+380 (43) 315-11-07,raknadiia@example.com
Адаменко,Феофан,Богданович,Чоловіча,1997-07-10,Програміст,село Долинська,"парк Лінія 37-ма, буд. 871, Підгайці, 28134",328-72-64,danna29@example.org
Хоменко,Мирослав,Валерійович,Чоловіча,1944-07-10,Кінорежисер,селище Судова Вишня,"парк Серединський, буд. 95, Овруч, 77137",+380 (33) 988-28-65,banderairyna@example.net
Терещенко,Богодар,Пантелеймонович,Чоловіча,1999-10-01,Слідчий,село Бершадь,"набережна Пейзажна, буд. 481 кв. 452, Іловайськ, 32902",+380 00 680-22-38,varvara38@example.net
Чуприна,Демид,Олесьович,Чоловіча,1965-07-18,Державний службовець,село Берестин,"узвіз Березова, буд. 29, Апостолове, 35139",+380 99 239 74 56,radamenko@example.com
Свистун,Прохір,Яковович,Чоловіча,1966-12-27,Кінокритик,селище Южноукраїнськ,"шосе Новопланівська, буд. 4 кв. 3, Старий Крим, 81585",424-72-51,rarsenych@example.org
Євдокименко,Амвросій,Пилипович,Чоловіча,1987-08-08,Кінолог,хутір Святогірськ,"площа Спаський, буд. 172, Родинське, 45524",520 96 86,volodymyra80@example.org
Пустовіт,Гаврило,Теодорович,Чоловіча,1972-07-04,Льотчик,хутір Олевськ,"вулиця Різовська, буд. 03, Підгородне, 81286",087 866 19 40,edyta88@example.net
Корсун,Варфоломій,Теодорович,Чоловіча,1978-06-02,Шериф,селище Дебальцеве,"проспект Затишна, буд. 83 кв. 19, Камінь-Каширський, 45096",+380 (79) 340-39-21,klyment20@example.com
Непорожній,Борислав,Артемович,Чоловіча,2008-08-30,Доцент,місто Очаків,"проспект 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 87, П'ятихатки, 28961",+380 30 144 53 70,dankivmyroslav@example.com
Акуленко,Адам,Глібович,Чоловіча,1955-03-04,Модель,селище Баранівка,"набережна Нафтовиків, буд. 979 кв. 16, Харків, 05776",659-65-05,olehartymyshyna@example.com
Архимович,Єфрем,Ігнатович,Чоловіча,1942-03-14,Няня,село Погребище,"парк Восьмого березня 1-й, буд. 557, Валки, 13714",+380 (36) 411-61-81,rteslenko@example.net
